,nombre,anterior,ultimo,%Dif,max,min,fecha,hora,%Dif.Año 2019
0,IBEX 35®,"9.402,30","9.380,20","-0,24","9.417,40","9.344,60",22/10/2019,17:38:00,"9,84"
1,IBEX 35® con Dividendos,"27.059,60","26.996,00","-0,24","27.103,10","26.893,40",22/10/2019,17:38:00,"13,24"
2,IBEX MEDIUM CAP®,"12.902,40","12.892,20","-0,08","12.960,30","12.852,90",22/10/2019,17:38:00,"-0,78"
3,IBEX SMALL CAP®,"6.530,90","6.502,90","-0,43","6.539,50","6.492,90",22/10/2019,17:38:01,"6,84"
4,IBEX 35® Bancos,"522,20","518,20","-0,77","525,40","513,90",22/10/2019,17:38:01,"-3,23"
5,IBEX 35® Energía,"1.362,10","1.369,10","0,51","1.369,40","1.359,60",22/10/2019,17:38:01,"13,80"
6,IBEX 35® Construcción,"1.558,70","1.561,30","0,17","1.566,00","1.545,90",22/10/2019,17:38:01,"26,19"
7,IBEX TOP Dividendo®,"2.804,10","2.803,60","-0,02","2.812,80","2.790,40",22/10/2019,17:38:00,"2,55"
8,IBEX 35® con Dividendos Netos,"22.907,40","22.853,60","-0,23","22.944,20","22.766,70",22/10/2019,17:38:00,"12,59"
9,IBEX 35® Inverso,"2.524,00","2.529,90","0,23","2.539,50","2.519,90",22/10/2019,17:38:00,"-13,06"
10,IBEX 35® Doble Inverso,"364,10","365,80","0,47","368,60","362,90",22/10/2019,17:38:00,"-25,44"
11,IBEX 35® Triple Inverso,"23,10","23,30","0,87","23,50","23,00",22/10/2019,17:38:00,"-37,03"
12,IBEX 35® Inverso X5,"8.285,50","8.382,60","1,17","8.539,70","8.218,60",22/10/2019,17:38:00,"236,36"
13,IBEX 35® Inverso X10,"166,70","170,60","2,34","176,90","164,00",22/10/2019,17:38:00,"-86,54"
14,IBEX 35® Doble Apalancado,"5.398,10","5.372,70","-0,47","5.415,40","5.331,80",22/10/2019,17:38:00,"18,82"
15,IBEX 35® Doble Apalancado Bruto,"22.424,50","22.319,00","-0,47","22.496,50","22.148,90",22/10/2019,17:38:00,"26,28"
16,IBEX 35® Doble Apalancado Neto,"19.077,30","18.987,60","-0,47","19.138,50","18.842,80",22/10/2019,17:38:00,"24,84"
17,IBEX 35® Triple Apalancado,"1.081,20","1.073,60","-0,70","1.086,40","1.061,30",22/10/2019,17:38:00,"26,86"
18,IBEX 35® Triple Apalancado Neto,"10.999,40","10.921,80","-0,71","11.052,30","10.796,60",22/10/2019,17:38:00,"36,57"
19,IBEX 35® Apalancado Neto X5,"2.089,00","2.064,40","-1,18","2.105,70","2.024,80",22/10/2019,17:38:00,"56,95"
20,IBEX 35® Apalancado Neto X10,"1.619,40","1.581,30","-2,35","1.645,30","1.519,80",22/10/2019,17:38:00,"74,31"
21,IBEX 35® Capped Net Return,"22.970,10","22.916,20","-0,23","23.007,10","22.829,10",22/10/2019,17:38:01,"12,59"
22,IBEX 35® Impacto Div,"303,00","303,00",- ,"303,00","303,00",22/10/2019,17:38:00,- 
23,IBEX 35® Volatilidad Objetivo 10% Estándar,"184,80","184,50","-0,16","185,00","184,00",22/10/2019,17:38:00,"6,71"
24,IBEX 35® Volatilidad Objetivo 12% Estándar,"192,50","192,10","-0,21","192,80","191,50",22/10/2019,17:38:00,"8,04"
25,IBEX 35® Volatilidad Objetivo 15% Estándar,"198,80","198,30","-0,25","199,10","197,60",22/10/2019,17:38:00,"9,86"
26,IBEX 35® Volatilidad Objetivo 18% Estándar,"201,00","200,40","-0,30","201,40","199,50",22/10/2019,17:38:00,"12,65"
27,IBEX 35® Volatilidad Objetivo 10% Financiado,"133,20","133,00","-0,15","133,30","132,60",22/10/2019,17:38:00,"6,57"
28,IBEX 35® Volatilidad Objetivo 12% Financiado,"136,60","136,30","-0,22","136,80","135,90",22/10/2019,17:38:00,"8,00"
